population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,75,Austria,1,Male,6,5-9 years,558,Mental disorders,2,Percent,2021,0.1708637424293968,0.2535139439168162,0.1238144830797775
1,All Population,5,Prevalence,75,Austria,2,Female,6,5-9 years,558,Mental disorders,2,Percent,2021,0.1335583503997492,0.2229865816077625,0.0837119295563435
1,All Population,5,Prevalence,75,Austria,1,Male,7,10-14 years,558,Mental disorders,2,Percent,2021,0.2308247326334978,0.294602392078627,0.1817881699798676
1,All Population,5,Prevalence,75,Austria,2,Female,7,10-14 years,558,Mental disorders,2,Percent,2021,0.2628302765397415,0.379951783791155,0.1875250481668788
1,All Population,5,Prevalence,75,Austria,1,Male,8,15-19 years,558,Mental disorders,2,Percent,2021,0.2284934776094855,0.3041714823465705,0.1825382465315348
1,All Population,5,Prevalence,75,Austria,2,Female,8,15-19 years,558,Mental disorders,2,Percent,2021,0.294852765564992,0.447534579357538,0.2089192754888789
1,All Population,5,Prevalence,75,Austria,1,Male,9,20-24 years,558,Mental disorders,2,Percent,2021,0.1781548886991757,0.211366863354857,0.1491666069697812
1,All Population,5,Prevalence,75,Austria,2,Female,9,20-24 years,558,Mental disorders,2,Percent,2021,0.2277928535571239,0.2940819953137524,0.178815156907736
1,All Population,5,Prevalence,75,Austria,1,Male,10,25-29 years,558,Mental disorders,2,Percent,2021,0.1624874971233601,0.1905506376473256,0.1386655690427612
1,All Population,5,Prevalence,75,Austria,2,Female,10,25-29 years,558,Mental disorders,2,Percent,2021,0.1943630543725327,0.2334980018629397,0.1608519628294927
1,All Population,5,Prevalence,75,Austria,1,Male,11,30-34 years,558,Mental disorders,2,Percent,2021,0.1547352186042346,0.1784851812396994,0.1319954928018852
1,All Population,5,Prevalence,75,Austria,2,Female,11,30-34 years,558,Mental disorders,2,Percent,2021,0.176363150668246,0.2113685092028058,0.1464003658456546
1,All Population,5,Prevalence,75,Austria,1,Male,12,35-39 years,558,Mental disorders,2,Percent,2021,0.1484987986414259,0.1676626501907023,0.1287191569836258
1,All Population,5,Prevalence,75,Austria,2,Female,12,35-39 years,558,Mental disorders,2,Percent,2021,0.1652340926162523,0.1914989457410593,0.1419618184878349
